,precision,recall,f1-score,support
0,1.0,1.0,1.0,952.0
1,0.7121825542878174,0.75,0.730602227676043,7740.0
2,0.0,0.0,0.0,1284.0
3,0.0,0.0,0.0,4328.0
4,0.0,0.0,0.0,6008.0
5,0.0,0.0,0.0,2028.0
6,0.0,0.0,0.0,804.0
7,0.0,0.0,0.0,3812.0
8,0.0,0.0,0.0,968.0
9,0.0,0.0,0.0,2100.0
10,0.0,0.0,0.0,10972.0
11,0.2612865344467641,1.0,0.4143174882325557,16020.0
12,0.0,0.0,0.0,3172.0
13,0.0,0.0,0.0,2876.0
14,0.0,0.0,0.0,1648.0
15,0.0,0.0,0.0,1284.0
16,0.0,0.0,0.0,1256.0
17,1.0,1.0,1.0,3732.0
18,0.0,0.0,0.0,3484.0
accuracy,0.35597840683246496,0.35597840683246496,0.35597840683246496,0.35597840683246496
macro avg,0.15649837309129375,0.19736842105263158,0.1655220903109789,74468.0
weighted avg,0.19313132153441567,0.35597840683246496,0.2279667428116522,74468.0
