State,City,Latitude,Longitude
Alabama,Adamsville,33.581,-86.956
Alabama,Alexander City,32.924,-85.95
Alabama,Athens,34.806,-86.959
Alabama,Auburn,32.594,-85.481
Alabama,Bessemer,33.337,-86.956
Alabama,Birmingham,33.516,-86.812
Alabama,Boligee,32.783,-88.046
Alabama,Bridgeport,34.948,-85.743
Alabama,Brilliant,33.997,-87.793
Alabama,Brundidge,31.72,-85.83
Alabama,Center Point,33.626,-86.688
Alabama,Centreville,32.953,-87.143
Alabama,Citronelle,31.134,-88.252
Alabama,Clanton,32.799,-86.579
Alabama,Cottondale,33.195,-87.442
Alabama,Cullman,34.215,-86.882
Alabama,Daphne,30.597,-87.892
Alabama,Decatur,34.58,-86.977
Alabama,Dothan,31.226,-85.401
Alabama,Enterprise,31.302,-85.843
Alabama,Fairfield,33.472,-86.923
Alabama,Florence,34.842,-87.605
Alabama,Foley,30.375,-87.678
Alabama,Forestdale,33.555,-86.918
Alabama,Fort Payne,34.446,-85.711
Alabama,Franklin,32.429,-85.79
Alabama,Good Hope,34.1,-86.866
Alabama,Goodwater,33.036,-86.064
Alabama,Grant,34.512,-86.258
Alabama,Gulf Shores,30.288,-87.683
Alabama,Guntersville,34.358,-86.288
Alabama,Helena,33.267,-86.838
Alabama,Highland Lakes,33.377,-86.666
Alabama,Hollywood,34.717,-85.96
Alabama,Homewood,33.458,-86.816
Alabama,Hoover,33.38,-86.79
Alabama,Hueytown,33.455,-86.972
Alabama,Huntsville,34.752,-86.634
Alabama,Jacksonville,33.823,-85.763
Alabama,Lanett,32.843,-85.19
Alabama,Lincoln,33.599,-86.112
Alabama,Madison,34.702,-86.719
Alabama,McDonald Chapel,33.523,-86.932
Alabama,Mobile,30.681,-88.101
Alabama,Montgomery,32.347,-86.232
Alabama,Moody,33.576,-86.477
Alabama,Mount Olive,33.068,-86.145
Alabama,Mountain Brook,33.457,-86.748
Alabama,New Hope,34.527,-86.404
Alabama,Northport,33.234,-87.576
Alabama,Opelika,32.627,-85.39
Alabama,Orange Beach,30.29,-87.619
Alabama,Owens Cross Roads,34.576,-86.446
Alabama,Oxford,33.601,-85.832
Alabama,Pell City,33.564,-86.265
Alabama,Phenix City,32.462,-85.021
Alabama,Pinckard,31.323,-85.525
Alabama,Pine Level,32.636,-86.493
Alabama,Pleasant Grove,33.486,-86.994
Alabama,Priceville,34.55,-86.909
Alabama,Prichard,30.735,-88.098
Alabama,Ryland,34.771,-86.474
Alabama,Saraland,30.805,-88.101
Alabama,Selma,32.404,-87.006
Alabama,Stevenson,34.88,-85.81
Alabama,Sylacauga,33.161,-86.257
Alabama,Troy,31.783,-85.949
Alabama,Trussville,33.615,-86.642
Alabama,Tuscaloosa,33.201,-87.522
Alabama,Tuskegee,32.433,-85.703
Alabama,Vestavia Hills,33.436,-86.732
Alabama,Webb,31.254,-85.295
Arizona,Avenue B & C,32.712,-114.669
Arizona,Avondale,33.469,-112.324
Arizona,Buckeye,33.34,-112.613
Arizona,Casa Grande,32.866,-111.706
Arizona,Cave Creek,33.736,-111.987
Arizona,Chandler,33.306,-111.849
Arizona,Eloy,32.764,-111.592
Arizona,Flagstaff,35.178,-111.655
Arizona,Fountain Hills,33.61,-111.72
Arizona,Gilbert,33.332,-111.776
Arizona,Glendale,33.568,-112.181
Arizona,Globe,33.392,-110.754
Arizona,Goodyear,33.475,-112.374
Arizona,Guadalupe,33.365,-111.967
Arizona,Litchfield Park,33.498,-112.348
Arizona,Mesa,33.401,-111.825
Arizona,Paradise Valley,33.582,-111.944
Arizona,Peoria,33.601,-112.244
Arizona,Phoenix,33.499,-112.076
Arizona,Prescott,34.626,-112.427
Arizona,Prescott Valley,34.609,-112.335
Arizona,Queen Creek,33.265,-111.635
Arizona,San Tan Valley,33.179,-111.581
Arizona,Scottsdale,33.602,-111.905
Arizona,Sierra Vista,31.559,-110.295
Arizona,Spring Valley,34.362,-112.172
Arizona,Sun City CDP,33.596,-112.269
Arizona,Sun City West,33.662,-112.375
Arizona,Surprise,33.632,-112.371
Arizona,Tempe,33.399,-111.931
Arizona,Tolleson,33.449,-112.256
Arizona,Tucson,32.232,-110.933
Arizona,Yuma,32.684,-114.562
Arkansas,Batesville,35.768,-91.634
Arkansas,Bay,35.751,-90.58
Arkansas,Bryant,34.612,-92.516
Arkansas,Conway,35.087,-92.461
Arkansas,Elkins,36.034,-94.024
Arkansas,Farmington,36.038,-94.234
Arkansas,Fayetteville,36.092,-94.133
Arkansas,Greenland,36.026,-94.187
Arkansas,Helena-West Helena,34.539,-90.626
Arkansas,Jacksonville,34.896,-92.143
Arkansas,Jonesboro,35.844,-90.682
Arkansas,Little Rock,34.724,-92.362
Arkansas,Lowell,36.253,-94.161
Arkansas,North Little Rock,34.77,-92.233
Arkansas,Pine Bluff,34.236,-91.998
Arkansas,Rogers,36.308,-94.142
Arkansas,Sherwood,34.819,-92.198
Arkansas,Springdale,36.19,-94.115
Arkansas,Texarkana,33.461,-94.014
Arkansas,Van Buren,35.458,-94.33
California,Adelanto,34.51,-117.426
California,Agoura Hills,34.148,-118.76
California,Alameda,37.774,-122.265
California,Albany,37.876,-122.299
California,Alhambra,34.075,-118.138
California,Altadena,34.172,-118.11
California,American Canyon,38.171,-122.253
California,Anaheim,33.829,-117.896
California,Antioch,37.987,-121.798
California,Arcadia,34.126,-118.041
California,Artesia,33.877,-118.083
California,Ashland,37.692,-122.117
California,Atascadero,35.415,-120.63
California,Atwater,37.344,-120.6
California,Azusa,34.129,-117.911
California,Bakersfield,35.32,-119.037
California,Baldwin Park,34.073,-117.981
California,Banning,33.927,-116.939
California,Barona,32.932,-116.874
California,Barstow,34.886,-117.024
California,Bay Point,38.023,-121.953
California,Beaumont,33.944,-116.992
California,Bell,33.981,-118.182
California,Bell Gardens,33.96,-118.17
California,Bellflower,33.882,-118.136
California,Belmont,37.518,-122.289
California,Berkeley,37.867,-122.283
California,Beverly Hills,34.066,-118.394
California,Bonita,32.657,-117.043
California,Brea,33.92,-117.883
California,Brentwood,37.948,-121.732
California,Buena Creek,33.164,-117.211
California,Buena Park,33.853,-118.006
California,Burbank,34.182,-118.331
California,Burlingame,37.592,-122.357
California,Camarillo,34.223,-119.053
California,Cambria,35.587,-121.119
California,Cameron Park,38.662,-121.004
California,Campbell,37.29,-121.953
California,Canyon Lake,33.675,-117.261
California,Capitola,36.973,-121.952
California,Carlsbad,33.129,-117.309
California,Carson,33.844,-118.258
California,Castro Valley,37.693,-122.071
California,Cathedral City,33.821,-116.451
California,Ceres,37.595,-120.911
California,Cerritos,33.864,-118.085
California,Cherryland,37.677,-122.105
California,Chino,34.018,-117.705
California,Chino Hills,33.988,-117.733
California,Chula Vista,32.643,-117.011
California,Citrus Heights,38.691,-121.308
California,City of Shafter,35.5,-119.182
California,Claremont,34.099,-117.718
California,Clovis,36.819,-119.704
